법정동코드,법정동코드_del
4211000000,42110000
4211025000,42110250
4211025021,42110250
4211025022,42110250
4211025023,42110250
4211025024,42110250
4211025025,42110250
4211025026,42110250
4211025027,42110250
4211031000,42110310
4211031021,42110310
4211031022,42110310
4211031023,42110310
4211031024,42110310
4211031025,42110310
4211031026,42110310
4211031027,42110310
4211031028,42110310
4211031029,42110310
4211031030,42110310
4211032000,42110320
4211032021,42110320
4211032022,42110320
4211032023,42110320
4211032024,42110320
4211033000,42110330
4211033021,42110330
4211033022,42110330
4211033023,42110330
4211033024,42110330
4211033025,42110330
4211034000,42110340
4211034021,42110340
4211034022,42110340
4211034023,42110340
4211034024,42110340
4211034025,42110340
4211034026,42110340
4211034027,42110340
4211035000,42110350
4211035021,42110350
4211035022,42110350
4211035023,42110350
4211035024,42110350
4211035025,42110350
4211035026,42110350
4211035027,42110350
4211035028,42110350
4211035029,42110350
4211035030,42110350
4211036000,42110360
4211036021,42110360
4211036022,42110360
4211036023,42110360
4211036024,42110360
4211036025,42110360
4211036026,42110360
4211036027,42110360
4211036028,42110360
4211036029,42110360
4211036030,42110360
4211038000,42110380
4211038021,42110380
4211038022,42110380
4211038023,42110380
4211038024,42110380
4211038025,42110380
4211038026,42110380
4211038027,42110380
4211038028,42110380
4211038029,42110380
4211038030,42110380
4211039000,42110390
4211039021,42110390
4211039022,42110390
4211039023,42110390
4211039024,42110390
4211039025,42110390
4211040000,42110400
4211040022,42110400
4211040023,42110400
4211040024,42110400
4211040025,42110400
4211040026,42110400
4211040027,42110400
4211040028,42110400
4211040029,42110400
4211040030,42110400
4211040031,42110400
4211012200,42110122
4211010800,42110108
4211011000,42110110
4211010500,42110105
4211010600,42110106
4211010900,42110109
4211011100,42110111
4211011300,42110113
4211011700,42110117
4211012900,42110129
4211010100,42110101
4211010200,42110102
4211010300,42110103
4211010400,42110104
4211010700,42110107
4211011400,42110114
4211011500,42110115
4211011600,42110116
4211012000,42110120
4211012000,42110120
4211012000,42110120
4211011200,42110112
4211011200,42110112
4211011200,42110112
4211011200,42110112
4211012400,42110124
4211012300,42110123
4211012100,42110121
4211012500,42110125
4211012600,42110126
4211012700,42110127
4211011800,42110118
4211011900,42110119
4211012800,42110128
