 format: day,hour,forecast,value  location:71_132 Start : 20120101 
 1,0200,+4,40.000000 
 1,0200,+7,45.000000 
 1,0200,+10,65.000000 
 1,0200,+13,85.000000 
 1,0200,+16,95.000000 
 1,0200,+19,95.000000 
 1,0200,+22,75.000000 
 1,0200,+25,45.000000 
 1,0200,+28,35.000000 
 1,0200,+31,40.000000 
 1,0200,+34,55.000000 
 1,0200,+37,75.000000 
 1,0200,+40,90.000000 
 1,0200,+43,90.000000 
 1,0200,+46,75.000000 
 1,0200,+49,55.000000 
 1,0500,+4,45.000000 
 1,0500,+7,65.000000 
 1,0500,+10,85.000000 
 1,0500,+13,95.000000 
 1,0500,+16,95.000000 
 1,0500,+19,75.000000 
 1,0500,+22,45.000000 
 1,0500,+25,35.000000 
 1,0500,+28,40.000000 
 1,0500,+31,55.000000 
 1,0500,+34,75.000000 
 1,0500,+37,90.000000 
 1,0500,+40,90.000000 
 1,0500,+43,75.000000 
 1,0500,+46,55.000000 
 1,0800,+4,70.000000 
 1,0800,+7,75.000000 
 1,0800,+10,85.000000 
 1,0800,+13,90.000000 
 1,0800,+16,75.000000 
 1,0800,+19,50.000000 
 1,0800,+22,35.000000 
 1,0800,+25,35.000000 
 1,0800,+28,55.000000 
 1,0800,+31,75.000000 
 1,0800,+34,80.000000 
 1,0800,+37,80.000000 
 1,0800,+40,70.000000 
 1,0800,+43,45.000000 
 1,0800,+46,45.000000 
 1,0800,+49,60.000000 
 1,0800,+52,55.000000 
 1,0800,+55,60.000000 
 1,1100,+4,75.000000 
 1,1100,+7,85.000000 
 1,1100,+10,90.000000 
 1,1100,+13,75.000000 
 1,1100,+16,50.000000 
 1,1100,+19,35.000000 
 1,1100,+22,35.000000 
 1,1100,+25,55.000000 
 1,1100,+28,75.000000 
 1,1100,+31,80.000000 
 1,1100,+34,80.000000 
 1,1100,+37,70.000000 
 1,1100,+40,45.000000 
 1,1100,+43,45.000000 
 1,1100,+46,60.000000 
 1,1100,+49,55.000000 
 1,1100,+52,60.000000 
 1,1400,+4,90.000000 
 1,1400,+7,95.000000 
 1,1400,+10,80.000000 
 1,1400,+13,55.000000 
 1,1400,+16,35.000000 
 1,1400,+19,40.000000 
 1,1400,+22,55.000000 
 1,1400,+25,75.000000 
 1,1400,+28,85.000000 
 1,1400,+31,80.000000 
 1,1400,+34,70.000000 
 1,1400,+37,45.000000 
 1,1400,+40,45.000000 
 1,1400,+43,75.000000 
 1,1400,+46,80.000000 
 1,1400,+49,85.000000 
 1,1700,+4,95.000000 
 1,1700,+7,80.000000 
 1,1700,+10,55.000000 
 1,1700,+13,35.000000 
 1,1700,+16,40.000000 
 1,1700,+19,55.000000 
 1,1700,+22,75.000000 
 1,1700,+25,85.000000 
 1,1700,+28,80.000000 
 1,1700,+31,70.000000 
 1,1700,+34,45.000000 
 1,1700,+37,45.000000 
 1,1700,+40,75.000000 
 1,1700,+43,80.000000 
 1,1700,+46,85.000000 
 1,2000,+4,75.000000 
 1,2000,+7,50.000000 
 1,2000,+10,35.000000 
 1,2000,+13,45.000000 
 1,2000,+16,70.000000 
 1,2000,+19,85.000000 
 1,2000,+22,90.000000 
 1,2000,+25,90.000000 
 1,2000,+28,75.000000 
 1,2000,+31,50.000000 
 1,2000,+34,55.000000 
 1,2000,+37,80.000000 
 1,2000,+40,75.000000 
 1,2000,+43,65.000000 
 1,2000,+46,65.000000 
 1,2000,+49,65.000000 
 1,2000,+52,65.000000 
 1,2000,+55,45.000000 
 1,2300,+4,50.000000 
 1,2300,+7,35.000000 
 1,2300,+10,45.000000 
 1,2300,+13,70.000000 
 1,2300,+16,85.000000 
