 format: day,hour,forecast,value  location:74_131 Start : 20170101 
 1,0200,+4,59.000000 
 1,0200,+7,71.000000 
 1,0200,+10,84.000000 
 1,0200,+13,90.000000 
 1,0200,+16,90.000000 
 1,0200,+19,89.000000 
 1,0200,+22,88.000000 
 1,0200,+25,69.000000 
 1,0200,+28,61.000000 
 1,0200,+31,65.000000 
 1,0200,+34,77.000000 
 1,0200,+37,85.000000 
 1,0200,+40,86.000000 
 1,0200,+43,86.000000 
 1,0200,+46,81.000000 
 1,0200,+49,51.000000 
 1,0200,+52,40.000000 
 1,0200,+55,50.000000 
 1,0200,+58,66.000000 
 1,0200,+61,78.000000 
 1,0500,+4,71.000000 
 1,0500,+7,84.000000 
 1,0500,+10,90.000000 
 1,0500,+13,90.000000 
 1,0500,+16,89.000000 
 1,0500,+19,88.000000 
 1,0500,+22,69.000000 
 1,0500,+25,61.000000 
 1,0500,+28,65.000000 
 1,0500,+31,77.000000 
 1,0500,+34,85.000000 
 1,0500,+37,86.000000 
 1,0500,+40,86.000000 
 1,0500,+43,81.000000 
 1,0500,+46,51.000000 
 1,0500,+49,40.000000 
 1,0500,+52,50.000000 
 1,0500,+55,66.000000 
 1,0500,+58,78.000000 
 1,0800,+4,84.000000 
 1,0800,+7,90.000000 
 1,0800,+10,90.000000 
 1,0800,+13,89.000000 
 1,0800,+16,88.000000 
 1,0800,+19,69.000000 
 1,0800,+22,61.000000 
 1,0800,+25,65.000000 
 1,0800,+28,77.000000 
 1,0800,+31,85.000000 
 1,0800,+34,86.000000 
 1,0800,+37,86.000000 
 1,0800,+40,81.000000 
 1,0800,+43,51.000000 
 1,0800,+46,40.000000 
 1,0800,+49,50.000000 
 1,0800,+52,66.000000 
 1,0800,+55,78.000000 
 1,1100,+4,90.000000 
 1,1100,+7,90.000000 
 1,1100,+10,89.000000 
 1,1100,+13,88.000000 
 1,1100,+16,69.000000 
 1,1100,+19,61.000000 
 1,1100,+22,65.000000 
 1,1100,+25,77.000000 
 1,1100,+28,85.000000 
 1,1100,+31,86.000000 
 1,1100,+34,86.000000 
 1,1100,+37,81.000000 
 1,1100,+40,51.000000 
 1,1100,+43,40.000000 
 1,1100,+46,50.000000 
 1,1100,+49,66.000000 
 1,1100,+52,78.000000 
 1,1400,+4,90.000000 
 1,1400,+7,89.000000 
 1,1400,+10,88.000000 
 1,1400,+13,69.000000 
 1,1400,+16,61.000000 
 1,1400,+19,65.000000 
 1,1400,+22,77.000000 
 1,1400,+25,85.000000 
 1,1400,+28,86.000000 
 1,1400,+31,86.000000 
 1,1400,+34,81.000000 
 1,1400,+37,51.000000 
 1,1400,+40,40.000000 
 1,1400,+43,50.000000 
 1,1400,+46,66.000000 
 1,1400,+49,78.000000 
 1,1700,+4,89.000000 
 1,1700,+7,88.000000 
 1,1700,+10,69.000000 
 1,1700,+13,61.000000 
 1,1700,+16,65.000000 
 1,1700,+19,77.000000 
 1,1700,+22,85.000000 
