 format: day,hour,forecast,value  location:75_136 Start : 20140101 
 1,0200,+4,35.000000 
 1,0200,+7,40.000000 
 1,0200,+10,65.000000 
 1,0200,+13,70.000000 
 1,0200,+16,75.000000 
 1,0200,+19,80.000000 
 1,0200,+22,70.000000 
 1,0200,+25,40.000000 
 1,0200,+28,30.000000 
 1,0200,+31,40.000000 
 1,0200,+34,65.000000 
 1,0200,+37,80.000000 
 1,0200,+40,85.000000 
 1,0200,+43,85.000000 
 1,0200,+46,75.000000 
 1,0200,+49,60.000000 
 1,0500,+4,40.000000 
 1,0500,+7,65.000000 
 1,0500,+10,70.000000 
 1,0500,+13,75.000000 
 1,0500,+16,80.000000 
 1,0500,+19,70.000000 
 1,0500,+22,40.000000 
 1,0500,+25,30.000000 
 1,0500,+28,40.000000 
 1,0500,+31,65.000000 
 1,0500,+34,80.000000 
 1,0500,+37,85.000000 
 1,0500,+40,85.000000 
 1,0500,+43,75.000000 
 1,0500,+46,60.000000 
 1,0800,+4,70.000000 
 1,0800,+7,75.000000 
 1,0800,+10,80.000000 
 1,0800,+13,85.000000 
 1,0800,+16,75.000000 
 1,0800,+19,45.000000 
 1,0800,+22,35.000000 
 1,0800,+25,40.000000 
 1,0800,+28,70.000000 
 1,0800,+31,80.000000 
 1,0800,+34,90.000000 
 1,0800,+37,90.000000 
 1,0800,+40,80.000000 
 1,0800,+43,55.000000 
 1,0800,+46,50.000000 
 1,0800,+49,70.000000 
 1,0800,+52,85.000000 
 1,0800,+55,85.000000 
 1,1100,+4,75.000000 
 1,1100,+7,80.000000 
 1,1100,+10,85.000000 
 1,1100,+13,75.000000 
 1,1100,+16,45.000000 
 1,1100,+19,35.000000 
 1,1100,+22,40.000000 
 1,1100,+25,70.000000 
 1,1100,+28,80.000000 
 1,1100,+31,90.000000 
 1,1100,+34,90.000000 
 1,1100,+37,80.000000 
 1,1100,+40,55.000000 
 1,1100,+43,50.000000 
 1,1100,+46,70.000000 
 1,1100,+49,85.000000 
 1,1100,+52,85.000000 
 1,1400,+4,80.000000 
 1,1400,+7,85.000000 
 1,1400,+10,75.000000 
 1,1400,+13,45.000000 
 1,1400,+16,35.000000 
 1,1400,+19,40.000000 
 1,1400,+22,70.000000 
 1,1400,+25,80.000000 
 1,1400,+28,90.000000 
 1,1400,+31,90.000000 
 1,1400,+34,80.000000 
 1,1400,+37,55.000000 
 1,1400,+40,50.000000 
 1,1400,+43,70.000000 
 1,1400,+46,85.000000 
 1,1400,+49,85.000000 
 1,1700,+4,55.000000 
 1,1700,+7,50.000000 
 1,1700,+10,40.000000 
 1,1700,+13,35.000000 
 1,1700,+16,40.000000 
 1,1700,+19,60.000000 
 1,1700,+22,65.000000 
 1,1700,+25,70.000000 
 1,1700,+28,70.000000 
 1,1700,+31,65.000000 
 1,1700,+34,55.000000 
 1,1700,+37,50.000000 
 1,1700,+40,70.000000 
 1,1700,+43,85.000000 
 1,1700,+46,85.000000 
 1,2000,+4,65.000000 
 1,2000,+7,40.000000 
 1,2000,+10,35.000000 
 1,2000,+13,45.000000 
 1,2000,+16,75.000000 
 1,2000,+19,80.000000 
 1,2000,+22,85.000000 
 1,2000,+25,85.000000 
 1,2000,+28,80.000000 
 1,2000,+31,55.000000 
 1,2000,+34,45.000000 
 1,2000,+37,65.000000 
 1,2000,+40,75.000000 
 1,2000,+43,85.000000 
 1,2000,+46,90.000000 
 1,2000,+49,90.000000 
 1,2000,+52,80.000000 
 1,2000,+55,55.000000 
 1,2300,+4,40.000000 
 1,2300,+7,35.000000 
 1,2300,+10,45.000000 
 1,2300,+13,75.000000 
 1,2300,+16,80.000000 
 1,2300,+19,85.000000 
 1,2300,+22,85.000000 
 1,2300,+25,80.000000 
 1,2300,+28,55.000000 
 1,2300,+31,45.000000 
 1,2300,+34,65.000000 
 1,2300,+37,75.000000 
 1,2300,+40,85.000000 
 1,2300,+43,90.000000 
 1,2300,+46,90.000000 
 1,2300,+49,80.000000 
 1,2300,+52,55.000000 
 2,0200,+4,35.000000 
 2,0200,+7,45.000000 
 2,0200,+10,75.000000 
 2,0200,+13,80.000000 
 2,0200,+16,85.000000 
 2,0200,+19,85.000000 
 2,0200,+22,80.000000 
 2,0200,+25,55.000000 
 2,0200,+28,45.000000 
 2,0200,+31,65.000000 
 2,0200,+34,75.000000 
 2,0200,+37,85.000000 
 2,0200,+40,90.000000 
 2,0200,+43,90.000000 
 2,0200,+46,80.000000 
 2,0200,+49,55.000000 
 2,0500,+4,45.000000 
 2,0500,+7,75.000000 
 2,0500,+10,80.000000 
 2,0500,+13,85.000000 
 2,0500,+16,85.000000 
 2,0500,+19,80.000000 
 2,0500,+22,55.000000 
 2,0500,+25,45.000000 
 2,0500,+28,65.000000 
 2,0500,+31,75.000000 
 2,0500,+34,85.000000 
 2,0500,+37,90.000000 
 2,0500,+40,90.000000 
 2,0500,+43,80.000000 
 2,0500,+46,55.000000 
 2,0800,+4,50.000000 
 2,0800,+7,65.000000 
 2,0800,+10,75.000000 
 2,0800,+13,75.000000 
 2,0800,+16,60.000000 
 2,0800,+19,35.000000 
 2,0800,+22,25.000000 
 2,0800,+25,50.000000 
 2,0800,+28,70.000000 
 2,0800,+31,80.000000 
 2,0800,+34,85.000000 
 2,0800,+37,85.000000 
 2,0800,+40,75.000000 
 2,0800,+43,45.000000 
 2,0800,+46,30.000000 
 2,0800,+49,40.000000 
 2,0800,+52,70.000000 
 2,0800,+55,80.000000 
 2,1100,+4,65.000000 
 2,1100,+7,75.000000 
 2,1100,+10,75.000000 
 2,1100,+13,60.000000 
 2,1100,+16,35.000000 
 2,1100,+19,25.000000 
 2,1100,+22,50.000000 
 2,1100,+25,70.000000 
 2,1100,+28,80.000000 
 2,1100,+31,85.000000 
 2,1100,+34,85.000000 
 2,1100,+37,75.000000 
 2,1100,+40,45.000000 
 2,1100,+43,30.000000 
 2,1100,+46,40.000000 
 2,1100,+49,70.000000 
 2,1100,+52,80.000000 
 2,1400,+4,75.000000 
 2,1400,+7,75.000000 
 2,1400,+10,60.000000 
 2,1400,+13,35.000000 
 2,1400,+16,25.000000 
 2,1400,+19,50.000000 
 2,1400,+22,70.000000 
 2,1400,+25,80.000000 
 2,1400,+28,85.000000 
 2,1400,+31,85.000000 
 2,1400,+34,75.000000 
 2,1400,+37,45.000000 
 2,1400,+40,30.000000 
 2,1400,+43,40.000000 
 2,1400,+46,70.000000 
 2,1400,+49,80.000000 
 2,1700,+4,75.000000 
 2,1700,+7,60.000000 
 2,1700,+10,35.000000 
 2,1700,+13,25.000000 
 2,1700,+16,50.000000 
 2,1700,+19,70.000000 
 2,1700,+22,80.000000 
 2,1700,+25,85.000000 
 2,1700,+28,85.000000 
 2,1700,+31,75.000000 
 2,1700,+34,45.000000 
 2,1700,+37,30.000000 
 2,1700,+40,40.000000 
 2,1700,+43,70.000000 
 2,1700,+46,80.000000 
 2,2000,+4,85.000000 
 2,2000,+7,60.000000 
 2,2000,+10,55.000000 
 2,2000,+13,75.000000 
 2,2000,+16,85.000000 
 2,2000,+19,90.000000 
 2,2000,+22,90.000000 
 2,2000,+25,90.000000 
 2,2000,+28,80.000000 
 2,2000,+31,50.000000 
 2,2000,+34,45.000000 
 2,2000,+37,50.000000 
 2,2000,+40,75.000000 
 2,2000,+43,85.000000 
 2,2000,+46,90.000000 
 2,2000,+49,90.000000 
 2,2000,+52,85.000000 
 2,2000,+55,55.000000 
 2,2300,+4,60.000000 
 2,2300,+7,55.000000 
 2,2300,+10,75.000000 
 2,2300,+13,85.000000 
 2,2300,+16,90.000000 
 2,2300,+19,90.000000 
 2,2300,+22,90.000000 
 2,2300,+25,80.000000 
 2,2300,+28,50.000000 
 2,2300,+31,45.000000 
 2,2300,+34,50.000000 
 2,2300,+37,75.000000 
 2,2300,+40,85.000000 
 2,2300,+43,90.000000 
 2,2300,+46,90.000000 
 2,2300,+49,85.000000 
 2,2300,+52,55.000000 
 3,0200,+4,55.000000 
 3,0200,+7,75.000000 
 3,0200,+10,85.000000 
 3,0200,+13,90.000000 
 3,0200,+16,90.000000 
 3,0200,+19,90.000000 
 3,0200,+22,80.000000 
 3,0200,+25,50.000000 
 3,0200,+28,45.000000 
 3,0200,+31,50.000000 
 3,0200,+34,75.000000 
 3,0200,+37,85.000000 
 3,0200,+40,90.000000 
 3,0200,+43,90.000000 
 3,0200,+46,85.000000 
 3,0200,+49,55.000000 
 3,0500,+4,75.000000 
 3,0500,+7,85.000000 
 3,0500,+10,90.000000 
 3,0500,+13,90.000000 
 3,0500,+16,90.000000 
 3,0500,+19,80.000000 
 3,0500,+22,50.000000 
 3,0500,+25,45.000000 
 3,0500,+28,50.000000 
 3,0500,+31,75.000000 
 3,0500,+34,85.000000 
 3,0500,+37,90.000000 
 3,0500,+40,90.000000 
 3,0500,+43,85.000000 
 3,0500,+46,55.000000 
 3,0800,+4,80.000000 
 3,0800,+7,90.000000 
 3,0800,+10,90.000000 
 3,0800,+13,85.000000 
 3,0800,+16,75.000000 
 3,0800,+19,55.000000 
 3,0800,+22,50.000000 
 3,0800,+25,55.000000 
 3,0800,+28,70.000000 
 3,0800,+31,80.000000 
 3,0800,+34,85.000000 
 3,0800,+37,90.000000 
 3,0800,+40,80.000000 
 3,0800,+43,60.000000 
 3,0800,+46,45.000000 
 3,0800,+49,55.000000 
 3,0800,+52,70.000000 
 3,0800,+55,80.000000 
 3,1100,+4,90.000000 
 3,1100,+7,90.000000 
 3,1100,+10,85.000000 
 3,1100,+13,75.000000 
 3,1100,+16,55.000000 
 3,1100,+19,50.000000 
 3,1100,+22,55.000000 
 3,1100,+25,70.000000 
 3,1100,+28,80.000000 
 3,1100,+31,85.000000 
 3,1100,+34,90.000000 
 3,1100,+37,80.000000 
 3,1100,+40,60.000000 
 3,1100,+43,45.000000 
 3,1100,+46,55.000000 
 3,1100,+49,70.000000 
 3,1100,+52,80.000000 
 3,1400,+4,90.000000 
 3,1400,+7,85.000000 
 3,1400,+10,75.000000 
 3,1400,+13,55.000000 
 3,1400,+16,50.000000 
 3,1400,+19,55.000000 
 3,1400,+22,70.000000 
