 format: day,hour,forecast,value  location:75_136 Start : 20140101 
 1,0200,+4,2.000000 
 1,0200,+7,4.000000 
 1,0200,+10,2.000000 
 1,0200,+13,2.000000 
 1,0200,+16,1.000000 
 1,0200,+19,1.000000 
 1,0200,+22,1.000000 
 1,0200,+25,1.000000 
 1,0200,+28,2.000000 
 1,0200,+31,2.000000 
 1,0200,+34,1.000000 
 1,0200,+37,1.000000 
 1,0200,+40,1.000000 
 1,0200,+43,1.000000 
 1,0200,+46,1.000000 
 1,0200,+49,1.000000 
 1,0500,+4,4.000000 
 1,0500,+7,2.000000 
 1,0500,+10,2.000000 
 1,0500,+13,1.000000 
 1,0500,+16,1.000000 
 1,0500,+19,1.000000 
 1,0500,+22,1.000000 
 1,0500,+25,2.000000 
 1,0500,+28,2.000000 
 1,0500,+31,1.000000 
 1,0500,+34,1.000000 
 1,0500,+37,1.000000 
 1,0500,+40,1.000000 
 1,0500,+43,1.000000 
 1,0500,+46,1.000000 
 1,0800,+4,1.000000 
 1,0800,+7,1.000000 
 1,0800,+10,0.500000 
 1,0800,+13,0.500000 
 1,0800,+16,0.500000 
 1,0800,+19,0.500000 
 1,0800,+22,2.000000 
 1,0800,+25,2.000000 
 1,0800,+28,0.500000 
 1,0800,+31,0.000000 
 1,0800,+34,0.000000 
 1,0800,+37,0.000000 
 1,0800,+40,0.000000 
 1,0800,+43,0.500000 
 1,0800,+46,2.000000 
 1,0800,+49,2.000000 
 1,0800,+52,0.500000 
 1,0800,+55,0.000000 
 1,1100,+4,1.000000 
 1,1100,+7,0.500000 
 1,1100,+10,0.500000 
 1,1100,+13,0.500000 
 1,1100,+16,0.500000 
 1,1100,+19,2.000000 
 1,1100,+22,2.000000 
 1,1100,+25,0.500000 
 1,1100,+28,0.000000 
 1,1100,+31,0.000000 
 1,1100,+34,0.000000 
 1,1100,+37,0.000000 
 1,1100,+40,0.500000 
 1,1100,+43,2.000000 
 1,1100,+46,2.000000 
 1,1100,+49,0.500000 
 1,1100,+52,0.000000 
 1,1400,+4,2.000000 
 1,1400,+7,2.000000 
 1,1400,+10,1.000000 
 1,1400,+13,1.000000 
