 format: day,hour,forecast,value  location:73_135 Start : 20120101 
 1,0200,+4,0.400000 
 1,0200,+7,-2.800000 
 1,0200,+10,-5.200000 
 1,0200,+13,-7.400000 
 1,0200,+16,-9.600000 
 1,0200,+19,-9.900000 
 1,0200,+22,-9.400000 
 1,0200,+25,-2.800000 
 1,0200,+28,0.900000 
 1,0200,+31,-0.500000 
 1,0200,+34,-4.900000 
 1,0200,+37,-7.000000 
 1,0200,+40,-8.200000 
 1,0200,+43,-8.400000 
 1,0200,+46,-6.800000 
 1,0200,+49,-3.700000 
 1,0500,+4,-2.800000 
 1,0500,+7,-5.200000 
 1,0500,+10,-7.400000 
 1,0500,+13,-9.600000 
 1,0500,+16,-9.900000 
 1,0500,+19,-9.400000 
 1,0500,+22,-2.800000 
 1,0500,+25,0.900000 
 1,0500,+28,-0.500000 
 1,0500,+31,-4.900000 
 1,0500,+34,-7.000000 
 1,0500,+37,-8.200000 
 1,0500,+40,-8.400000 
 1,0500,+43,-6.800000 
 1,0500,+46,-3.700000 
 1,0800,+4,-6.300000 
 1,0800,+7,-8.600000 
 1,0800,+10,-9.800000 
 1,0800,+13,-11.000000 
 1,0800,+16,-9.600000 
 1,0800,+19,-2.100000 
 1,0800,+22,1.200000 
 1,0800,+25,-0.400000 
 1,0800,+28,-3.900000 
 1,0800,+31,-6.200000 
 1,0800,+34,-8.200000 
 1,0800,+37,-9.300000 
 1,0800,+40,-8.000000 
 1,0800,+43,-2.700000 
 1,0800,+46,0.300000 
 1,0800,+49,-2.100000 
 1,0800,+52,-3.300000 
 1,0800,+55,-5.300000 
 1,1100,+4,-8.600000 
 1,1100,+7,-9.800000 
 1,1100,+10,-11.000000 
 1,1100,+13,-9.600000 
 1,1100,+16,-2.100000 
 1,1100,+19,1.200000 
 1,1100,+22,-0.400000 
 1,1100,+25,-3.900000 
 1,1100,+28,-6.200000 
 1,1100,+31,-8.200000 
 1,1100,+34,-9.300000 
 1,1100,+37,-8.000000 
 1,1100,+40,-2.700000 
 1,1100,+43,0.300000 
 1,1100,+46,-2.100000 
 1,1100,+49,-3.300000 
 1,1100,+52,-5.300000 
 1,1400,+4,-11.300000 
 1,1400,+7,-11.900000 
 1,1400,+10,-10.400000 
 1,1400,+13,-2.100000 
 1,1400,+16,1.200000 
 1,1400,+19,-0.400000 
 1,1400,+22,-3.900000 
 1,1400,+25,-6.200000 
 1,1400,+28,-8.200000 
 1,1400,+31,-9.300000 
 1,1400,+34,-8.000000 
 1,1400,+37,-2.700000 
 1,1400,+40,0.300000 
 1,1400,+43,-2.100000 
 1,1400,+46,-3.300000 
 1,1400,+49,-5.300000 
 1,1700,+4,-12.600000 
 1,1700,+7,-10.400000 
 1,1700,+10,-2.100000 
 1,1700,+13,1.200000 
 1,1700,+16,-0.400000 
 1,1700,+19,-3.900000 
 1,1700,+22,-6.200000 
 1,1700,+25,-8.200000 
 1,1700,+28,-9.300000 
 1,1700,+31,-8.000000 
 1,1700,+34,-2.700000 
 1,1700,+37,0.300000 
 1,1700,+40,-2.100000 
 1,1700,+43,-3.300000 
 1,1700,+46,-5.300000 
 1,2000,+4,-11.300000 
 1,2000,+7,-3.900000 
 1,2000,+10,1.000000 
 1,2000,+13,-2.200000 
 1,2000,+16,-6.200000 
 1,2000,+19,-8.300000 
 1,2000,+22,-9.500000 
 1,2000,+25,-10.600000 
 1,2000,+28,-9.200000 
