 format: day,hour,forecast,value  location:73_135 Start : 20170101 
 1,0200,+4,59.000000 
 1,0200,+7,60.000000 
 1,0200,+10,84.000000 
 1,0200,+13,89.000000 
 1,0200,+16,89.000000 
 1,0200,+19,85.000000 
 1,0200,+22,81.000000 
 1,0200,+25,65.000000 
 1,0200,+28,49.000000 
 1,0200,+31,50.000000 
 1,0200,+34,70.000000 
 1,0200,+37,85.000000 
 1,0200,+40,89.000000 
 1,0200,+43,90.000000 
 1,0200,+46,84.000000 
 1,0200,+49,55.000000 
 1,0200,+52,40.000000 
 1,0200,+55,50.000000 
 1,0200,+58,71.000000 
 1,0200,+61,84.000000 
 1,0500,+4,60.000000 
 1,0500,+7,84.000000 
 1,0500,+10,89.000000 
 1,0500,+13,89.000000 
 1,0500,+16,85.000000 
 1,0500,+19,81.000000 
 1,0500,+22,65.000000 
 1,0500,+25,49.000000 
 1,0500,+28,50.000000 
 1,0500,+31,70.000000 
 1,0500,+34,85.000000 
 1,0500,+37,89.000000 
 1,0500,+40,90.000000 
 1,0500,+43,84.000000 
 1,0500,+46,55.000000 
 1,0500,+49,40.000000 
 1,0500,+52,50.000000 
 1,0500,+55,71.000000 
 1,0500,+58,84.000000 
 1,0800,+4,84.000000 
 1,0800,+7,89.000000 
 1,0800,+10,89.000000 
 1,0800,+13,85.000000 
 1,0800,+16,81.000000 
 1,0800,+19,65.000000 
 1,0800,+22,49.000000 
 1,0800,+25,50.000000 
 1,0800,+28,70.000000 
 1,0800,+31,85.000000 
 1,0800,+34,89.000000 
 1,0800,+37,90.000000 
 1,0800,+40,84.000000 
 1,0800,+43,55.000000 
 1,0800,+46,40.000000 
 1,0800,+49,50.000000 
 1,0800,+52,71.000000 
 1,0800,+55,84.000000 
 1,1100,+4,89.000000 
 1,1100,+7,89.000000 
 1,1100,+10,85.000000 
 1,1100,+13,81.000000 
 1,1100,+16,65.000000 
 1,1100,+19,49.000000 
 1,1100,+22,50.000000 
 1,1100,+25,70.000000 
 1,1100,+28,85.000000 
 1,1100,+31,89.000000 
 1,1100,+34,90.000000 
 1,1100,+37,84.000000 
 1,1100,+40,55.000000 
 1,1100,+43,40.000000 
 1,1100,+46,50.000000 
 1,1100,+49,71.000000 
 1,1100,+52,84.000000 
 1,1400,+4,89.000000 
 1,1400,+7,85.000000 
 1,1400,+10,81.000000 
 1,1400,+13,65.000000 
 1,1400,+16,49.000000 
 1,1400,+19,50.000000 
 1,1400,+22,70.000000 
 1,1400,+25,85.000000 
 1,1400,+28,89.000000 
 1,1400,+31,90.000000 
 1,1400,+34,84.000000 
 1,1400,+37,55.000000 
 1,1400,+40,40.000000 
 1,1400,+43,50.000000 
 1,1400,+46,71.000000 
 1,1400,+49,84.000000 
 1,1700,+4,85.000000 
 1,1700,+7,81.000000 
 1,1700,+10,65.000000 
 1,1700,+13,49.000000 
 1,1700,+16,50.000000 
 1,1700,+19,70.000000 
 1,1700,+22,85.000000 
 1,1700,+25,89.000000 
 1,1700,+28,90.000000 
 1,1700,+31,84.000000 
 1,1700,+34,55.000000 
 1,1700,+37,40.000000 
 1,1700,+40,50.000000 
 1,1700,+43,71.000000 
 1,1700,+46,84.000000 
 1,2000,+4,89.000000 
 1,2000,+7,65.000000 
 1,2000,+10,49.000000 
 1,2000,+13,50.000000 
 1,2000,+16,70.000000 
 1,2000,+19,85.000000 
 1,2000,+22,89.000000 
 1,2000,+25,90.000000 
 1,2000,+28,84.000000 
 1,2000,+31,55.000000 
 1,2000,+34,40.000000 
 1,2000,+37,50.000000 
 1,2000,+40,71.000000 
 1,2000,+43,84.000000 
 1,2000,+46,89.000000 
 1,2000,+49,94.000000 
 1,2000,+52,85.000000 
 1,2000,+55,59.000000 
 1,2000,+58,40.000000 
 1,2000,+61,46.000000 
 1,2000,+64,75.000000 
 1,2000,+67,85.000000 
 1,2300,+4,65.000000 
 1,2300,+7,49.000000 
 1,2300,+10,50.000000 
 1,2300,+13,70.000000 
 1,2300,+16,85.000000 
 1,2300,+19,89.000000 
 1,2300,+22,90.000000 
 1,2300,+25,84.000000 
 1,2300,+28,55.000000 
 1,2300,+31,40.000000 
 1,2300,+34,50.000000 
 1,2300,+37,71.000000 
 1,2300,+40,84.000000 
 1,2300,+43,89.000000 
 1,2300,+46,94.000000 
 1,2300,+49,85.000000 
 1,2300,+52,59.000000 
 1,2300,+55,40.000000 
 1,2300,+58,46.000000 
 1,2300,+61,75.000000 
 1,2300,+64,85.000000 
 2,0200,+4,51.000000 
 2,0200,+7,52.000000 
 2,0200,+10,70.000000 
 2,0200,+13,84.000000 
 2,0200,+16,89.000000 
 2,0200,+19,90.000000 
