 format: day,hour,forecast,value  location:73_134 Start : 20130101 
 1,0200,+4,70.000000 
 1,0200,+7,75.000000 
 1,0200,+10,95.000000 
 1,0200,+13,95.000000 
 1,0200,+16,80.000000 
 1,0200,+19,65.000000 
 1,0200,+22,55.000000 
 1,0200,+25,35.000000 
 1,0200,+28,35.000000 
 1,0200,+31,45.000000 
 1,0200,+34,55.000000 
 1,0200,+37,65.000000 
 1,0200,+40,80.000000 
 1,0200,+43,80.000000 
 1,0200,+46,75.000000 
 1,0200,+49,35.000000 
 1,0500,+4,75.000000 
 1,0500,+7,95.000000 
 1,0500,+10,95.000000 
 1,0500,+13,80.000000 
 1,0500,+16,65.000000 
 1,0500,+19,55.000000 
 1,0500,+22,35.000000 
 1,0500,+25,35.000000 
 1,0500,+28,45.000000 
 1,0500,+31,55.000000 
 1,0500,+34,65.000000 
 1,0500,+37,80.000000 
 1,0500,+40,80.000000 
 1,0500,+43,75.000000 
 1,0500,+46,35.000000 
 1,0800,+4,95.000000 
 1,0800,+7,95.000000 
 1,0800,+10,80.000000 
 1,0800,+13,65.000000 
 1,0800,+16,55.000000 
 1,0800,+19,35.000000 
 1,0800,+22,35.000000 
 1,0800,+25,45.000000 
 1,0800,+28,55.000000 
 1,0800,+31,65.000000 
 1,0800,+34,70.000000 
 1,0800,+37,70.000000 
 1,0800,+40,65.000000 
 1,0800,+43,35.000000 
 1,0800,+46,35.000000 
 1,0800,+49,40.000000 
 1,0800,+52,65.000000 
 1,0800,+55,75.000000 
 1,1100,+4,95.000000 
 1,1100,+7,80.000000 
 1,1100,+10,65.000000 
 1,1100,+13,55.000000 
 1,1100,+16,35.000000 
 1,1100,+19,35.000000 
 1,1100,+22,45.000000 
 1,1100,+25,55.000000 
 1,1100,+28,65.000000 
 1,1100,+31,70.000000 
 1,1100,+34,70.000000 
 1,1100,+37,65.000000 
 1,1100,+40,35.000000 
 1,1100,+43,35.000000 
 1,1100,+46,40.000000 
 1,1100,+49,65.000000 
 1,1100,+52,75.000000 
 1,1400,+4,80.000000 
 1,1400,+7,65.000000 
 1,1400,+10,55.000000 
 1,1400,+13,35.000000 
 1,1400,+16,35.000000 
 1,1400,+19,45.000000 
 1,1400,+22,55.000000 
 1,1400,+25,65.000000 
 1,1400,+28,70.000000 
 1,1400,+31,70.000000 
 1,1400,+34,65.000000 
 1,1400,+37,35.000000 
 1,1400,+40,35.000000 
 1,1400,+43,40.000000 
 1,1400,+46,65.000000 
 1,1400,+49,75.000000 
 1,1700,+4,65.000000 
 1,1700,+7,55.000000 
 1,1700,+10,35.000000 
 1,1700,+13,35.000000 
 1,1700,+16,45.000000 
 1,1700,+19,55.000000 
 1,1700,+22,65.000000 
 1,1700,+25,70.000000 
 1,1700,+28,70.000000 
 1,1700,+31,65.000000 
 1,1700,+34,35.000000 
 1,1700,+37,35.000000 
 1,1700,+40,40.000000 
 1,1700,+43,65.000000 
 1,1700,+46,75.000000 
 1,2000,+4,50.000000 
 1,2000,+7,40.000000 
 1,2000,+10,45.000000 
 1,2000,+13,55.000000 
 1,2000,+16,60.000000 
 1,2000,+19,65.000000 
 1,2000,+22,70.000000 
 1,2000,+25,70.000000 
 1,2000,+28,65.000000 
 1,2000,+31,40.000000 
 1,2000,+34,45.000000 
 1,2000,+37,55.000000 
 1,2000,+40,70.000000 
 1,2000,+43,80.000000 
 1,2000,+46,85.000000 
 1,2000,+49,85.000000 
 1,2000,+52,80.000000 
 1,2000,+55,50.000000 
 1,2300,+4,40.000000 
 1,2300,+7,45.000000 
 1,2300,+10,55.000000 
 1,2300,+13,60.000000 
 1,2300,+16,65.000000 
 1,2300,+19,70.000000 
 1,2300,+22,70.000000 
 1,2300,+25,65.000000 
 1,2300,+28,40.000000 
 1,2300,+31,45.000000 
 1,2300,+34,55.000000 
 1,2300,+37,70.000000 
 1,2300,+40,80.000000 
 1,2300,+43,85.000000 
 1,2300,+46,85.000000 
 1,2300,+49,80.000000 
 1,2300,+52,50.000000 
 2,0200,+4,35.000000 
 2,0200,+7,50.000000 
 2,0200,+10,60.000000 
 2,0200,+13,65.000000 
 2,0200,+16,70.000000 
 2,0200,+19,70.000000 
 2,0200,+22,65.000000 
 2,0200,+25,40.000000 
 2,0200,+28,45.000000 
 2,0200,+31,55.000000 
 2,0200,+34,70.000000 
 2,0200,+37,80.000000 
 2,0200,+40,85.000000 
 2,0200,+43,85.000000 
 2,0200,+46,80.000000 
